timestep 10000, episode 10, value -85.28
timestep 20000, episode 20, value -89.21
timestep 30000, episode 30, value -90.39
timestep 40000, episode 40, value -91.06
timestep 50000, episode 50, value -91.49
timestep 60000, episode 60, value -91.77
timestep 70000, episode 70, value -91.95
timestep 80000, episode 80, value -92.09
timestep 90000, episode 90, value -92.19
timestep 100000, episode 100, value -92.22
timestep 110000, episode 110, value -93.01
timestep 120000, episode 120, value -93.01
timestep 130000, episode 130, value -93.05
timestep 140000, episode 140, value -93.05
timestep 150000, episode 150, value -93.06
timestep 160000, episode 160, value -93.06
timestep 170000, episode 170, value -93.02
timestep 180000, episode 180, value -93.04
timestep 190000, episode 190, value -93.06
timestep 200000, episode 200, value -93.11
timestep 210000, episode 210, value -93.1
timestep 220000, episode 220, value -93.1
timestep 230000, episode 230, value -93.12
timestep 240000, episode 240, value -93.13
timestep 250000, episode 250, value -93.13
timestep 260000, episode 260, value -93.11
timestep 270000, episode 270, value -93.17
timestep 280000, episode 280, value -93.14
timestep 290000, episode 290, value -93.14
timestep 300000, episode 300, value -93.14
timestep 310000, episode 320, value -93.13
timestep 320000, episode 340, value -93.12
timestep 330000, episode 360, value -93.09
timestep 340000, episode 380, value -93.12
timestep 350000, episode 400, value -93.10
timestep 360000, episode 420, value -93.09
timestep 260000, episode 440, value -93.11
timestep 270000, episode 460, value -93.12
timestep 280000, episode 480, value -93.13
timestep 280000, episode 500, value -93.13
timestep 300000, episode 520, value -93.11
timestep 310000, episode 540, value -93.08
timestep 320000, episode 560, value -93.12
timestep 330000, episode 580, value -93.09
timestep 330000, episode 600, value -93.08
timestep 330000, episode 620, value -93.11
timestep 330000, episode 640, value -93.09
timestep 330000, episode 660, value -93.13
timestep 330000, episode 680, value -93.12
timestep 330000, episode 700, value -93.09
timestep 300000, episode 720, value -93.11
timestep 310000, episode 740, value -93.10
timestep 320000, episode 760, value -93.13
timestep 330000, episode 780, value -93.09
timestep 300000, episode 800, value -93.12
timestep 310000, episode 820, value -93.13
timestep 320000, episode 840, value -93.12
timestep 260000, episode 860, value -93.11
timestep 280000, episode 880, value -93.14
timestep 300000, episode 900, value -93.14
timestep 310000, episode 920, value -93.09
timestep 320000, episode 940, value -93.11
timestep 260000, episode 960, value -93.09
timestep 280000, episode 980, value -93.12
timestep 300000, episode 1000, value -93.11
